sonno	Substantiv
sopra	Adverb
sorella	Substantiv
sotto	Adverb
spaghetto	Substantiv
spedire	Verb
spesa	Substantiv
spesso	Adverb
spiaggia	Substantiv
sporco	Adjektiv
sport	Substantiv
sposare	Verb
stanco	Adjektiv
stare	Verb
stazione	Substantiv
stop	Substantiv
strada	Substantiv
straniero	Adjektiv
stretto	Adjektiv
studente	Substantiv
studentessa	Substantiv
studiare	Verb
su	Adverb
suonare	Verb
supermercato	Substantiv
svegliarsi	Verb
tanto	Adjektiv
tanto	Adverb
tardi	Adverb
tavolo	Substantiv
taxi	Substantiv
te	Pronomen
tè	Substantiv
teatro	Substantiv
telefonare	Verb
telefono	Substantiv
televisione	Substantiv
ti	Pronomen
tornare	Verb
treno	Substantiv
triste	Adjektiv
troppo	Adjektiv
troppo	Adverb
trovare	Verb
tu	Pronomen
tuo	Adjektiv
turista	Substantiv
tutto	Adjektiv
tv	Substantiv
ufficio	Substantiv
un	Artikel
una	Artikel
uno	Artikel
università	Substantiv
uomo	Substantiv
uovo	Substantiv
uscire	Verb
vacanza	Substantiv
valigia	Substantiv
vecchio	Adjektiv
vedersi	Verb
venerdì	Substantiv
venire	Verb
verde	Adjektiv
verdura	Substantiv
vero	Adjektiv
vestito	Substantiv
via	Substantiv
viaggiare	Verb
viaggio	Substantiv
vicino	Adverb
vino	Substantiv
visitare	Verb
visto	Substantiv
vivere	Verb
voi	Pronomen
volere	Verb
zaino	Substantiv
zucchero	Substantiv
